Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Oct 9, 2018	111-2449484-2157021	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	111-2449484-2157021	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.92		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	111-2449484-2157021	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-3490939-7931406	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	111-3490939-7931406	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-5.30		Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	111-3490939-7931406	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	111-3490939-7931406	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	111-9308951-1317036	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-9308951-1317036	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.92		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-9308951-1317036	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	114-8994500-7377802	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	114-8994500-7377802	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	114-8994500-7377802	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 8, 2018	114-4052847-2519440	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	114-4052847-2519440	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.40		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	114-4052847-2519440	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	112-5038549-4979405	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-9.57		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	112-5038549-4979405	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-8.76		Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	112-5038549-4979405	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	112-5038549-4979405	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	112-5038549-4979405	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 8, 2018	111-8180107-1630639	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-6.38		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-8180107-1630639	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-4.80		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-8180107-1630639	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-8180107-1630639	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-8180107-1630639	YL-ODHG-X4FA	Order Payment	Other	Product Tax	$2.82		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-1254666-3351403	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-1254666-3351403	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-1254666-3351403	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	114-0019062-6788243	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	114-0019062-6788243	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	114-0019062-6788243	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-9175596-5408218	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-12.76		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	113-9175596-5408218	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-9.60		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	113-9175596-5408218	YL-ODHG-X4FA	Order Payment	Product charges		$47.97	3	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	113-9175596-5408218	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
